,Average wind speed (m/s),Average power (kW),Input turbulence intensity (%),Input alpha
7635,14.1877,4823.25,37.51,0.15
499,11.9719,4683.47,33.03,-0.24
7402,10.1596,3947.54,31.56,-0.33
7203,6.87508,1280.57,25.8,-0.03
7592,9.63729,3196.43,27.37,0.31
812,24.611,4985.82,14.44,-0.4
2251,17.8385,4986.09,14.86,-0.5
2879,12.0876,4600.22,25.78,-0.1
5157,4.0695,287.208,35.14,0.45
7485,14.1712,4983.05,11.29,0.15
4010,21.9994,4986.94,6.18,-0.18
5844,3.83632,228.738,33.41,0.47
1650,10.8381,4332.85,11.16,0.43
1206,3.94136,228.161,35.59,-0.02
1352,6.96885,1285.24,23.63,0.45
1541,5.26421,567.006,31.01,-0.1
5914,10.2342,3683.65,30.73,0.09
4172,7.73507,1698.17,6.06,-0.18
7467,21.4544,4979.35,25.62,0.07
4390,8.54666,2762.28,15.06,-0.48
3392,8.46695,2393.81,30.41,0.35
963,6.85323,1489.16,42.1,0.19
81,8.86114,2493.49,16.32,0.31
3270,10.7337,3995.62,28.21,-0.03
4798,11.9847,4677.76,18.39,0.08
4601,13.3349,4892.61,23.64,0.36
3205,8.28894,1992.93,5.7,-0.02
7618,8.70454,3001.38,20.59,-0.49
5220,9.25098,3199.3,24.47,-0.3
7130,15.8889,4934.66,28.38,0.26
1189,12.4491,4439.2,39.24,0.11
2313,21.0658,4939.98,36.9,-0.35
5152,17.7526,4911.43,39.12,-0.37
7984,3.85477,206.184,35.1,0.13
7602,10.1631,3431.21,41.09,0.16
5998,10.3659,3872.76,32.22,0.21
5376,24.3612,4946.52,30.49,0.16
760,18.0187,4766.82,39.02,0.29
7935,10.1067,3621.92,21.12,0.14
5123,11.0042,4393.24,27.9,-0.37
1603,15.278,4980.97,14.44,0.44
3671,19.2535,4976.27,24.66,0.02
2503,11.0831,4370.64,12.34,0.35
7994,17.1787,4983.21,24.37,-0.1
7344,21.061,4835.03,40.88,0.0
6918,15.8284,4939.1,29.72,-0.03
2454,8.43367,2718.37,34.26,-0.43
73,21.1913,4987.13,8.66,0.04
6798,10.7593,4236.12,11.12,0.15
4619,22.7092,4958.67,29.0,-0.2
1059,9.78903,3341.44,22.03,0.45
7183,24.8361,4967.69,29.65,-0.22
494,25.4493,4940.14,35.11,-0.49
7645,13.5483,4465.16,40.75,0.23
6326,9.12079,2696.01,25.29,0.24
3862,6.9011,1161.29,5.99,-0.05
3129,22.5262,4950.71,29.47,0.17
1452,3.83144,183.691,20.79,0.02
549,12.3952,4860.69,19.25,-0.42
7553,22.3716,4986.41,15.73,0.44
7231,6.35438,1130.68,31.88,0.01
2078,4.63203,400.695,36.33,0.12
7468,14.8961,4924.92,26.54,0.4
2832,8.5057,2709.72,32.36,-0.38
3089,10.5497,3764.16,27.18,-0.01
4521,22.5879,4986.45,6.44,-0.45
3218,19.1362,4970.22,26.32,0.02
385,5.41722,630.523,26.65,0.4
6997,22.9429,4897.25,43.28,-0.3
1661,20.5571,4982.6,20.75,0.48
7048,15.4478,4984.22,9.26,-0.39
4449,14.312,4857.09,35.01,-0.05
5579,24.1,4858.61,39.17,-0.26
4995,24.8346,4978.05,19.63,-0.5
6717,3.70578,196.857,8.31,-0.44
4076,15.7984,4936.83,36.45,-0.44
6974,7.14171,1569.06,26.43,-0.21
5681,7.85185,1975.1,34.31,-0.12
870,13.9956,4974.95,18.24,0.02
2077,12.6796,4981.78,5.16,-0.36
1373,11.9241,4530.98,22.88,0.0
7819,22.1338,4972.31,24.94,0.25
6402,15.8832,4983.3,12.72,-0.29
7151,23.3361,4872.54,43.39,-0.35
1875,17.0255,4965.71,26.69,0.25
4327,15.8103,4984.99,7.84,0.33
3165,19.8244,4986.74,5.15,-0.21
6493,18.3916,4899.25,33.7,0.39
4341,16.5853,4848.8,37.66,-0.1
4419,3.62091,192.78,29.19,-0.34
4075,16.6577,4813.18,26.39,0.33
1090,19.2347,4986.47,8.26,-0.13
6255,14.4266,4775.57,37.69,-0.5
3020,18.2552,4980.32,27.74,-0.43
1483,5.63519,827.854,44.88,0.23
7904,7.73552,1687.27,18.72,0.38
4544,16.2813,4871.84,40.94,0.14
7779,17.4948,4983.04,25.93,0.25
1691,5.83065,720.565,11.19,-0.09
1553,22.1944,4986.9,9.23,0.35
1223,7.30711,1828.08,26.93,-0.5
4709,22.4761,4986.87,5.01,-0.3
5300,3.60496,196.188,18.69,-0.44
1062,25.0827,4986.66,8.42,-0.34
2492,20.1107,4986.68,9.46,0.28
4041,19.9848,4963.16,29.34,0.34
6061,20.8331,4986.92,10.52,0.21
2909,13.9621,4984.5,9.38,-0.33
4944,16.2877,4984.41,11.65,0.25
4890,12.9592,4650.33,44.29,-0.48
5490,7.70107,1571.42,7.12,0.36
7383,18.5757,4901.81,39.88,0.04
2567,9.48561,3224.55,26.15,-0.14
3660,24.6631,4987.13,11.23,0.01
1476,13.1286,4938.35,17.36,0.25
7709,21.2576,4926.58,37.89,0.34
2051,12.3726,4700.51,42.43,-0.38
6,16.2452,4918.35,35.03,-0.1
6464,10.8031,4285.6,26.35,-0.24
4048,24.2988,4976.96,20.3,-0.48
652,20.6201,4986.31,10.48,-0.26
2893,5.61053,722.244,30.44,0.48
1644,7.20436,1345.77,13.89,-0.03
6999,9.82071,3475.6,18.41,-0.11
3656,17.1723,4984.84,17.55,0.15
5654,23.8114,4986.6,7.97,-0.37
3549,11.9919,4531.69,34.96,-0.49
2606,22.5728,4942.48,44.22,-0.5
5995,19.7572,4986.53,9.65,0.46
7454,12.9884,4402.67,39.03,-0.28
3943,10.5965,4130.39,13.27,-0.01
6826,5.22276,505.413,18.54,0.23
4990,6.16621,902.92,34.3,0.2
7064,18.8518,4966.84,31.04,-0.24
3266,3.29056,92.1295,6.07,0.48
4821,8.97639,2914.4,36.03,0.06
4860,17.4741,4982.54,12.68,0.36
2175,20.4543,4896.28,37.55,0.23
6674,5.73611,833.402,16.68,-0.39
4804,24.8967,4961.07,23.49,0.25
636,19.1695,4986.21,11.75,0.18
6191,11.632,4413.14,26.2,0.03
5578,19.5849,4895.91,35.74,-0.02
2986,14.9314,4919.72,36.92,-0.47
5244,3.68026,198.893,34.53,0.4
6637,4.61658,397.215,29.79,0.12
4932,14.8772,4958.21,30.66,-0.36
1954,8.62661,2335.12,23.09,0.19
7755,15.4595,4468.42,44.1,0.13
3835,21.228,4986.42,7.18,-0.28
886,10.3282,4206.34,24.26,-0.5
2073,11.3066,4082.07,41.59,-0.13
3566,10.3943,3803.14,23.01,0.38
6086,9.67354,3132.68,37.66,-0.06
6716,22.7964,4966.81,28.69,-0.08
4687,20.1787,4819.61,41.59,-0.06
1443,11.6733,4808.18,9.63,0.48
835,5.83998,791.716,22.92,-0.2
4806,24.4577,4855.03,39.71,-0.02
264,14.0087,4913.35,28.39,-0.1
1776,4.75599,414.747,31.14,0.13
5704,22.6832,4835.89,38.98,0.18
2908,5.95627,757.858,16.28,0.09
7140,12.1405,4825.74,17.0,0.33
6783,10.4354,3868.54,8.46,0.21
5789,23.4404,4920.7,33.1,-0.1
7625,5.85222,855.893,17.95,-0.39
7404,13.5643,4908.54,26.04,0.34
2103,12.6945,4678.46,40.57,-0.44
2576,7.43932,1453.29,12.18,0.04
4851,18.7742,4918.3,35.45,0.3
5597,17.7579,4985.45,16.19,-0.47
363,18.8731,4917.86,31.89,0.22
1306,4.10365,277.407,40.62,0.15
3347,6.95951,1363.61,32.08,0.03
53,10.0776,3463.54,42.2,-0.05
450,20.1322,4859.02,44.62,-0.42
7916,16.1411,4741.38,40.42,-0.19
7511,3.80012,220.414,29.17,-0.25
5008,4.83148,488.713,40.79,0.34
3807,20.8511,4971.84,25.49,0.41
4188,4.46193,295.127,10.12,0.39
3851,7.51442,1965.48,43.15,-0.03
1790,15.8491,4921.84,34.56,-0.45
6386,17.582,4985.69,8.9,-0.13
2372,20.144,4987.2,15.56,-0.11
1966,7.58695,1886.82,28.46,-0.33
7588,17.6382,4986.23,14.46,-0.41
2804,14.8483,4967.47,22.75,-0.37
4114,18.2172,4759.16,43.2,0.28
7011,22.5264,4985.59,17.84,0.0
1174,23.83,4884.77,41.56,0.04
5893,4.31777,305.36,32.75,0.15
3168,24.6656,4906.46,29.62,0.46
2724,16.134,4983.28,12.26,0.23
2459,20.5429,4819.63,40.62,-0.15
7053,10.9065,4393.56,7.18,0.07
5585,9.78483,3763.78,14.72,-0.35
2938,5.02408,446.744,13.78,-0.06
3847,6.45989,1299.36,35.72,-0.18
6063,7.56189,1890.32,37.3,-0.28
5562,17.5382,4985.72,16.92,0.48
6815,19.0265,4924.48,37.42,-0.03
1699,5.75454,756.019,15.79,-0.26
7894,12.2879,4506.4,39.99,-0.35
968,11.1607,4356.7,10.24,0.32
7228,24.2602,4985.4,19.02,0.08
47,21.0925,4864.31,36.7,0.44
5279,21.5084,4986.56,14.75,0.33
3366,11.8696,4656.12,19.53,0.16
5455,17.924,4729.99,37.31,-0.1
6157,4.48863,357.769,37.01,0.03
4321,8.86798,3061.45,22.26,-0.44
3591,4.36488,284.17,5.28,-0.16
279,14.7692,4684.85,42.52,0.14
7377,8.16201,2075.55,29.82,0.42
6424,15.5384,4773.32,38.41,-0.06
3187,22.2519,4987.11,8.41,-0.02
6647,9.59715,3297.95,19.11,-0.06
7442,9.43313,3296.6,25.36,-0.31
5698,14.6072,4906.79,31.38,0.02
1303,11.4055,4202.58,35.14,-0.06
7176,5.37148,652.536,18.27,-0.28
887,21.1855,4985.33,20.51,0.31
1894,17.0845,4973.32,17.14,0.38
5972,19.2679,4984.95,16.06,-0.22
4273,10.3511,4176.46,20.18,-0.39
2906,13.3313,4816.33,24.13,0.46
4404,16.0192,4831.44,31.63,0.21
884,13.1575,4982.23,9.17,-0.04
6844,23.5284,4986.85,11.87,0.47
5368,5.21394,540.735,20.26,0.38
1467,25.3567,4919.03,36.49,0.16
5962,17.7127,4986.95,9.05,-0.35
2585,4.48442,448.287,44.62,-0.09
7888,19.9211,4986.33,7.54,0.34
325,6.73419,1402.54,41.0,0.44
7364,4.59213,336.139,17.17,0.38
2825,18.1275,4986.45,13.83,-0.25
6876,6.9975,1277.2,19.64,-0.1
824,15.8838,4636.52,43.01,0.26
477,8.91223,2588.72,12.9,-0.04
5663,11.4381,4300.16,24.07,0.32
1164,18.1241,4986.61,9.42,-0.01
4360,13.4635,4747.68,39.92,-0.3
7882,8.737,2413.21,16.0,-0.03
3780,23.4508,4934.72,37.04,-0.31
111,5.19373,484.268,11.18,0.26
4805,4.29501,265.481,12.93,0.38
1920,23.661,4981.5,22.01,-0.06
5887,15.1036,4843.01,36.02,-0.14
435,4.28998,316.12,27.65,-0.23
751,7.93165,2081.82,39.08,0.02
5857,8.62685,2344.75,28.46,0.15
4670,18.8546,4986.29,16.24,-0.09
2680,22.5989,4984.2,20.49,0.37
1449,10.9635,4357.03,27.73,-0.15
1167,14.4547,4944.41,24.28,0.11
3498,4.67155,406.544,39.85,0.16
7869,13.076,4799.24,26.09,-0.42
370,15.7848,4846.15,42.47,-0.41
7831,22.4425,4985.96,13.76,0.25
4955,12.1926,3864.93,41.89,0.46
3220,13.1417,4744.72,30.08,0.46
7981,10.6837,4155.72,29.02,-0.46
1436,17.8756,4928.63,33.68,0.19
2607,12.8382,4973.85,18.02,-0.42
1278,13.0123,4976.45,11.29,-0.17
6022,25.1316,4975.16,19.94,0.07
3793,9.45482,3026.61,36.15,0.24
1115,3.72383,203.947,18.71,-0.44
1929,6.23575,856.652,8.1,-0.04
7750,22.9599,4958.81,35.7,-0.15
2626,15.619,4807.31,35.91,-0.15
1904,10.9351,4632.37,5.78,-0.17
427,7.50364,1866.11,37.42,-0.21
3990,9.80322,3749.72,33.52,-0.34
284,19.331,4965.58,37.23,-0.3
6788,10.1915,4261.5,24.05,-0.46
2207,24.303,4782.86,44.82,0.35
155,14.3038,4894.11,25.9,0.5
2989,18.1618,4925.25,43.04,-0.27
4289,24.3632,4970.61,27.61,0.09
7959,22.8597,4976.26,22.8,-0.36
4016,10.2028,3570.89,31.59,-0.14
211,9.89555,3406.09,19.66,0.16
4393,21.7727,4975.21,23.41,0.48
5763,11.5728,4739.38,13.37,-0.13
3547,14.633,4983.84,18.16,0.42
3740,13.1519,4778.42,19.92,0.13
1510,20.4207,4860.75,43.36,-0.35
7321,4.60578,347.008,15.67,-0.09
3348,13.081,4439.45,42.36,-0.13
6653,5.54187,624.692,21.57,0.21
6615,18.2801,4890.27,44.42,-0.1
582,21.7381,4986.85,6.44,0.2
1613,23.3255,4949.66,35.94,0.48
5237,22.1131,4986.92,12.28,0.33
5529,21.0179,4986.55,18.87,-0.45
3935,21.1262,4984.62,17.07,-0.05
920,5.62225,685.531,23.07,0.25
3784,21.983,4983.68,20.94,-0.21
7743,12.9774,4458.08,38.11,0.2
6925,12.3032,4241.0,44.49,-0.19
959,21.4483,4947.97,31.19,-0.24
1226,4.40748,302.869,19.58,0.13
2754,22.1071,4973.08,28.1,-0.3
6636,15.6006,4910.5,31.49,0.16
6186,24.7634,4847.06,43.48,-0.45
7659,13.651,4941.91,24.14,-0.43
7297,19.4057,4962.61,24.03,0.36
4312,3.29433,97.7833,19.28,0.4
3374,23.6937,4845.4,39.65,0.33
5541,14.8495,4983.01,12.13,0.41
3171,17.7891,4846.4,43.86,-0.48
1169,23.774,4867.87,39.65,0.06
3449,24.386,4849.34,42.74,0.08
1664,6.01644,1022.63,39.56,0.17
2632,8.42392,2779.55,32.27,-0.42
745,12.6012,4286.17,35.06,0.16
4282,14.471,4627.18,36.75,-0.43
1367,5.29408,511.773,10.27,0.05
4823,10.4757,4007.2,25.91,-0.22
2859,16.2587,4885.62,33.72,0.05
1213,22.5332,4982.89,18.66,0.26
7510,23.7111,4933.96,41.18,-0.46
4551,20.7955,4985.69,20.62,-0.35
6305,24.6293,4881.84,44.57,0.1
2249,13.6427,4785.76,32.36,0.16
4290,16.9677,4986.08,15.27,0.11
4833,4.47822,404.296,42.76,-0.22
5938,12.9197,4609.94,25.77,-0.23
3984,18.1566,4898.61,39.13,-0.41
2007,15.8842,4873.76,37.07,0.19
6203,22.5674,4971.46,24.9,0.35
4310,17.7157,4985.78,7.97,0.2
5183,5.67187,769.296,32.25,-0.1
3008,21.3768,4980.33,26.72,-0.15
7504,20.5696,4984.38,20.14,-0.38
5889,9.34748,2863.66,18.5,0.15
6232,5.97869,916.252,6.84,-0.45
7090,6.06609,1157.94,39.08,-0.37
791,10.7608,4171.57,34.45,-0.26
1659,16.3263,4819.57,39.79,-0.07
2414,6.50957,1174.84,14.28,-0.41
1977,5.92168,886.807,35.14,0.32
4457,22.8152,4902.66,38.68,-0.01
3698,13.2416,4982.78,13.04,-0.39
3185,18.3079,4986.0,9.73,0.08
1491,11.5679,4770.8,14.73,-0.03
7097,8.42316,2182.21,12.66,-0.08
6854,23.8998,4934.62,41.61,-0.41
5852,24.455,4953.4,25.84,-0.16
1563,8.30117,2159.86,35.39,0.26
3408,14.6237,4830.22,35.65,0.18
6467,15.9514,4688.59,40.18,0.22
6556,8.94695,2857.89,8.14,-0.36
6219,13.8333,4731.59,33.06,0.02
4011,3.51447,120.573,5.39,-0.08
7355,17.4669,4920.83,32.36,0.22
6858,8.46557,2129.56,14.99,0.24
7110,20.2599,4986.46,7.61,0.39
3654,4.80675,441.966,33.64,0.5
1959,25.1387,4976.89,22.04,-0.44
1350,14.2297,4961.38,20.44,0.15
1305,24.6705,4935.64,27.06,-0.17
5141,22.3374,4984.25,17.96,0.48
4263,8.55452,2233.39,11.55,-0.02
1340,21.7912,4961.72,30.83,0.1
5521,20.5205,4936.04,35.79,0.33
6613,7.98113,2120.79,39.59,0.15
6073,19.6119,4961.18,31.42,-0.08
3417,3.71099,259.006,43.41,-0.34
4605,4.56849,340.229,11.17,-0.16
5447,17.7046,4986.39,12.09,-0.46
2328,14.2563,4490.36,44.22,-0.32
243,24.9261,4981.82,17.88,0.28
1806,13.148,4635.79,26.01,0.15
7561,22.2852,4987.13,12.41,0.18
1198,21.2832,4985.58,22.11,-0.49
7559,11.0068,4826.66,8.32,-0.35
2969,10.7485,4198.87,12.04,-0.02
1099,11.9318,4318.5,31.18,0.27
1343,8.55447,2662.51,43.18,0.1
1499,25.7152,4817.87,41.43,0.39
6937,4.8644,560.264,36.74,-0.35
3712,5.04486,469.73,16.92,0.43
2948,8.76412,2493.4,30.21,0.44
6579,16.0961,4984.5,12.46,-0.31
7020,12.2772,4137.52,41.39,0.29
4617,19.8339,4867.07,39.87,-0.02
2581,12.8619,4734.91,20.7,-0.35
5997,23.9695,4985.05,17.81,-0.02
126,17.5742,4985.95,6.05,-0.03
3586,6.9687,1409.97,12.57,-0.39
7017,17.3048,4986.27,21.05,0.29
6731,21.4442,4933.54,36.51,0.06
228,20.7345,4856.5,43.52,0.2
1884,5.21383,554.03,26.06,-0.08
1486,13.2326,4385.51,41.91,0.15
1442,18.2438,4889.52,39.59,-0.45
3042,17.049,4767.08,38.51,-0.08
7895,24.8348,4652.13,44.62,-0.13
6229,9.61142,3283.74,23.69,-0.07
3716,20.9117,4843.26,44.82,0.03
4934,10.8563,4209.85,12.25,0.19
4911,18.0044,4959.7,41.8,0.16
4227,20.0328,4985.76,13.56,-0.16
1320,17.7711,4986.24,17.14,-0.14
2357,11.1009,4197.56,42.82,-0.29
3011,14.7463,4980.55,20.32,-0.34
5439,10.6319,4108.44,34.14,-0.35
6572,8.16806,2064.99,17.17,-0.15
5338,23.0888,4983.33,23.62,-0.17
7098,17.2164,4985.43,9.08,-0.38
3082,3.74071,179.914,22.42,-0.03
5214,12.7612,4615.99,27.19,0.21
5655,7.8103,1806.53,10.96,-0.21
1757,6.48812,969.646,11.76,0.09
7884,17.9086,4978.64,24.64,0.01
4205,17.4606,4979.08,22.7,0.34
4637,20.6325,4936.71,34.26,0.44
455,11.3051,4023.85,40.38,0.34
7119,12.958,4801.59,18.69,0.26
1426,5.61336,647.392,21.82,0.34
3195,6.56308,1136.85,29.83,0.48
2973,3.37463,158.253,41.09,0.28
3121,14.8348,4881.88,30.71,-0.36
7989,20.5793,4895.42,36.28,0.11
4994,15.4306,4984.71,10.23,-0.2
423,8.17203,2202.85,36.25,0.49
7912,8.83846,2747.04,37.11,-0.03
6813,24.3608,4987.22,8.91,0.47
4112,5.0239,625.126,44.21,0.46
4430,10.275,3687.3,5.79,0.22
4729,5.93579,841.264,26.48,-0.24
7845,20.7018,4986.83,10.56,-0.28
4984,22.9561,4949.27,34.72,-0.24
4495,23.8469,4884.63,39.48,-0.35
4658,10.0342,3462.1,10.36,0.41
6753,19.4497,4985.7,12.38,0.44
5777,3.80817,179.746,19.31,0.48
2224,24.3396,4980.65,19.23,0.43
4437,7.76504,1912.17,13.09,-0.37
2862,14.2764,4948.18,23.8,-0.19
6769,24.8994,4909.95,37.79,-0.3
5711,10.6956,4171.67,23.89,-0.03
3646,13.6788,4831.47,24.44,-0.43
6678,17.2545,4985.18,6.23,-0.49
1277,17.4292,4977.55,20.02,0.09
2438,4.24959,296.13,27.92,-0.02
6307,13.9714,4831.47,27.19,0.36
6523,5.4636,571.036,10.03,0.38
6116,11.534,4340.04,34.23,0.05
1895,6.37163,1144.25,10.72,-0.49
5261,24.0283,4968.11,27.14,0.03
2605,9.12625,3045.09,17.2,-0.31
538,17.8552,4984.93,21.38,0.38
6506,10.9846,4127.86,24.89,0.04
3727,24.1243,4985.44,18.81,-0.43
6565,13.6256,4962.79,15.4,0.3
4171,11.5953,4515.1,21.66,0.48
2311,15.3447,4781.21,42.51,0.26
3632,13.5286,4590.57,36.55,0.14
1345,15.7716,4973.81,19.79,-0.11
483,3.44746,108.861,12.91,0.11
1186,12.547,4979.33,11.48,-0.42
4211,11.8679,4981.75,6.19,-0.42
3567,9.1009,2856.55,27.41,-0.03
1851,5.01542,625.578,35.68,-0.5
4032,3.07096,86.7163,28.48,0.25
3789,18.8225,4974.22,23.09,-0.02
4753,23.5242,4949.88,35.13,-0.08
6090,21.4675,4946.08,30.78,0.21
2664,11.8589,4165.68,38.59,-0.08
5277,9.01534,2697.01,21.27,0.48
2393,9.08514,2682.5,6.49,-0.07
6091,15.4027,4918.89,28.94,0.28
5744,12.4479,4522.48,44.79,0.16
4517,22.0266,4972.33,33.13,0.35
1535,3.11106,77.2173,20.98,0.32
1528,19.8416,4953.13,28.24,0.32
4528,12.8638,4630.12,39.56,0.17
6840,19.5784,4986.47,13.36,-0.43
3517,23.969,4987.22,7.0,-0.15
3,4.23563,282.372,22.71,-0.11
6007,11.4944,4865.76,20.3,-0.45
5479,24.6074,4981.8,17.08,-0.05
7495,12.8534,4864.95,21.13,0.14
2460,7.40235,1573.79,28.89,0.08
5829,21.0479,4985.75,14.88,-0.18
2093,8.97349,2949.92,31.81,-0.33
2081,14.2675,4675.54,41.38,0.33
4777,18.7368,4872.94,37.68,0.21
1034,7.37967,1900.57,42.47,-0.35
1371,22.6885,4889.77,40.18,0.22
854,7.55436,2169.7,38.42,-0.48
5407,7.77101,1944.25,37.02,-0.04
7788,16.5389,4880.36,36.28,0.15
1883,21.9193,4868.06,44.91,-0.32
7867,22.647,4983.02,20.41,-0.32
3486,23.4562,4954.58,32.51,-0.41
4150,16.9798,4962.43,26.53,-0.26
2864,4.49157,385.872,27.85,-0.3
6124,15.3699,4840.59,36.44,-0.02
819,11.5839,4828.44,10.75,0.25
7057,11.0895,3874.56,44.95,0.36
2158,8.40904,2340.32,8.14,-0.32
982,22.1329,4986.63,14.81,-0.47
6772,23.6813,4857.94,40.75,-0.28
6884,19.7613,4977.33,25.71,-0.29
4379,13.6867,4981.12,7.56,-0.1
1218,18.8039,4825.37,44.86,-0.4
5836,8.05268,1800.43,8.78,0.38
7622,21.7842,4895.8,37.36,-0.09
3831,9.51455,3030.15,15.86,0.07
731,15.2911,4895.68,27.27,-0.06
1453,12.4658,4491.39,43.28,-0.23
191,16.9684,4984.49,15.91,-0.28
3236,3.79931,214.134,22.2,-0.32
6272,18.1736,4986.0,17.81,-0.26
6085,5.76428,845.694,35.23,-0.21
7240,3.69655,209.503,36.99,-0.19
2197,13.3476,4980.87,9.42,0.32
2011,7.21671,1336.79,14.89,0.38
4181,3.68777,166.6,7.22,-0.29
5386,23.3713,4894.53,40.24,-0.26
5393,13.7822,4978.56,14.8,-0.23
4952,3.25393,93.1474,20.03,0.19
2385,24.8432,4986.6,10.53,-0.4
4691,21.9348,4982.59,20.24,-0.46
673,16.0652,4899.45,37.56,-0.01
4363,22.2683,4986.87,7.99,0.35
2139,12.5257,4589.69,24.48,-0.3
4130,10.9067,4553.76,12.31,-0.26
655,12.9569,4768.07,27.59,-0.02
131,15.3614,4875.99,34.31,-0.13
7946,14.4075,4937.22,26.98,-0.31
1060,9.0417,3126.32,31.88,-0.31
7032,14.9854,4867.56,33.73,0.04
5574,16.6148,4984.91,18.93,-0.31
1040,9.54648,3253.39,43.03,0.07
5768,18.1192,4985.72,11.09,0.02
6979,3.2221,95.5191,25.72,0.36
6510,12.7338,4603.42,31.65,-0.37
2650,12.4459,4829.87,18.72,0.32
3963,24.9065,4903.61,38.93,-0.12
4525,22.0266,4967.26,39.34,-0.16
4956,21.5679,4816.71,39.13,0.43
7832,12.0218,4605.81,39.66,-0.19
6625,4.22445,308.228,34.76,-0.16
4678,20.9786,4930.91,33.98,0.28
1736,18.8662,4944.16,32.45,0.48
7353,6.55057,1118.43,14.75,-0.24
1512,15.1453,4789.14,33.48,0.36
3262,18.7405,4955.4,28.51,0.4
2309,24.2542,4980.51,20.1,-0.49
1577,18.7509,4854.92,41.85,0.3
4509,24.124,4963.25,28.2,-0.06
68,18.1224,4985.46,6.98,-0.02
1392,17.6604,4939.37,35.69,-0.09
866,16.3111,4961.81,19.55,-0.08
5271,8.30069,2474.98,28.6,-0.33
6723,15.1504,4984.95,24.6,-0.32
386,23.4418,4982.64,18.74,0.32
1339,20.2914,4986.93,18.21,0.02
1816,9.7568,3291.56,28.93,0.26
2305,8.81138,2668.11,26.62,0.08
6364,18.2709,4975.68,25.8,-0.38
310,15.6984,4740.13,41.48,0.08
4877,13.3471,4800.12,42.99,-0.49
3427,20.8278,4938.52,33.88,0.03
4633,5.17406,571.957,39.41,0.46
6983,9.28225,2781.5,8.63,0.07
6683,24.2158,4986.89,14.75,-0.03
7018,19.2035,4909.44,39.37,-0.46
2055,12.1243,4563.54,30.16,-0.35
202,11.4541,4627.13,14.91,0.18
1657,25.1122,4885.14,40.05,-0.44
6282,18.5228,4759.46,44.43,0.14
1338,10.4187,4222.13,16.97,-0.27
2840,16.0101,4752.08,37.84,0.39
4745,16.7312,4726.0,35.53,0.37
487,16.4107,4980.06,23.59,0.0
529,20.7164,4962.76,28.94,0.12
7325,9.31905,2959.44,21.28,0.44
4672,20.2141,4930.7,40.73,-0.48
7385,14.9695,4985.48,9.86,-0.07
7600,12.717,4920.26,17.51,-0.33
3895,9.57869,2979.11,5.79,0.33
3146,22.9914,4863.06,35.62,0.23
3571,13.2336,4571.38,34.23,0.27
2059,7.30856,1490.79,8.89,-0.27
7621,5.46269,570.885,20.24,0.19
4761,6.13501,789.518,6.97,0.26
4702,23.549,4980.42,21.68,0.13
6099,5.51466,735.431,40.8,0.06
7926,3.92216,199.101,21.75,-0.03
3147,12.6541,4616.68,27.06,-0.13
4527,14.5678,4980.11,21.66,-0.46
5259,3.79117,212.556,29.49,-0.24
6212,10.8098,3909.73,35.26,0.44
503,9.67948,3353.32,35.7,-0.12
1990,18.3765,4985.77,24.71,-0.43
1909,7.62283,2023.65,43.94,-0.13
2961,20.3477,4853.96,41.93,0.26
1261,8.62509,2800.72,22.05,-0.46
1906,12.7972,4926.65,18.15,0.01
6383,9.44656,3109.72,9.83,-0.15
4063,3.96621,299.113,39.68,-0.42
303,13.9235,4823.43,31.85,0.24
6680,14.7803,4984.25,9.99,-0.26
7052,19.1727,4801.13,44.97,0.27
3996,20.1309,4986.67,12.47,-0.01
4614,5.49266,561.423,6.73,0.21
2015,16.6095,4981.35,17.39,0.47
3693,13.5136,4856.61,36.94,-0.33
3215,21.8763,4922.41,36.33,0.47
3927,9.68115,3587.44,23.23,-0.41
834,23.7016,4967.75,26.64,0.23
7974,15.9689,4982.19,16.03,0.13
7688,6.53113,988.784,9.87,-0.01
100,11.1729,4255.22,29.16,-0.27
7664,18.6169,4986.27,16.18,-0.18
4647,20.9765,4947.14,27.34,0.47
4160,13.2435,4848.36,32.11,-0.32
5977,23.9283,4853.63,41.64,-0.05
7532,4.7253,453.282,33.08,0.32
168,5.32327,565.703,22.72,-0.04
4719,9.72643,3446.86,35.61,-0.13
712,24.8868,4987.11,9.38,0.08
7898,3.37113,115.163,6.42,-0.28
7324,14.7617,4984.75,11.93,-0.42
1243,17.1744,4728.29,34.27,0.07
5297,14.2071,4984.94,11.41,0.4
1191,16.1478,4707.65,41.78,-0.02
6512,10.7077,4315.91,26.53,-0.36
4217,20.9531,4892.5,40.65,0.47
7214,14.2524,4971.2,21.06,-0.49
1658,6.18008,818.77,11.78,0.17
3009,7.19785,1346.14,21.09,0.03
5487,5.60917,663.25,25.87,0.06
1794,15.8052,4968.53,22.13,0.45
3245,15.5317,4984.55,10.74,0.24
3444,22.3428,4986.24,6.08,-0.48
6456,8.56105,2414.08,29.04,0.37
3767,7.36514,1396.71,6.72,0.0
6481,18.9646,4986.75,15.65,0.24
7899,4.93072,702.745,43.21,-0.38
901,6.1783,821.985,8.76,0.34
5954,17.6175,4986.22,11.74,-0.47
6486,16.5749,4984.73,10.64,0.27
623,25.0314,4870.5,35.27,0.38
6574,5.31585,773.07,35.79,-0.44
3751,18.2291,4979.59,23.26,0.23
3596,23.1838,4966.24,26.65,-0.03
1544,16.5558,4982.22,20.72,-0.16
4206,14.9785,4984.8,8.7,-0.38
