,Average wind speed (m/s),Average power (kW),Input turbulence intensity (%),Input alpha
6935,17.3559,4949.6,36.06,-0.47
4488,8.47199,2680.49,13.56,-0.49
4668,4.968,441.755,15.45,0.46
1581,18.0058,4982.89,28.19,0.21
5316,11.5301,3927.89,39.7,0.29
1600,10.6721,4477.85,7.97,-0.24
7656,22.8726,4952.63,43.7,-0.07
1063,25.608,4937.51,34.4,-0.05
2983,5.10764,454.769,15.57,0.14
5702,5.16564,595.207,10.04,-0.45
917,22.7955,4943.08,28.32,0.07
4189,12.5547,4417.71,40.96,0.49
5175,4.01763,234.334,29.1,0.41
1818,21.2107,4986.8,12.97,0.47
4969,12.7408,4516.46,43.8,0.09
5004,11.349,4048.12,35.1,0.1
1224,23.8719,4983.1,17.64,0.42
5091,22.7331,4922.9,38.51,0.44
1615,9.48077,3065.11,26.32,0.13
457,15.5389,4984.88,5.98,-0.13
3856,23.4312,4976.16,22.24,0.23
3125,10.3947,3458.95,43.86,0.35
467,8.64052,2575.11,16.25,-0.3
323,21.0537,4986.63,17.48,-0.1
321,11.5308,4266.15,27.46,-0.16
4685,25.3757,4904.45,36.38,0.12
2053,5.61182,773.521,6.64,-0.48
607,13.9497,4860.29,25.98,0.38
994,24.4526,4909.16,32.82,0.05
597,23.5169,4835.03,44.02,0.34
2521,4.32906,307.058,17.78,-0.26
2457,7.86126,1700.17,9.98,0.34
679,14.939,4972.24,24.51,-0.49
6535,19.6767,4889.5,32.92,0.44
6841,19.5405,4938.99,42.52,-0.49
941,13.506,4943.03,24.86,0.01
1262,5.37639,668.819,7.75,-0.45
1525,18.0266,4875.6,38.13,0.05
4749,15.4771,4815.05,42.29,0.44
4050,12.243,4872.85,16.22,0.05
3950,16.0917,4985.12,11.87,0.0
2193,12.934,4955.58,17.78,0.19
6852,8.04419,1994.68,22.29,-0.13
7684,12.2482,4568.74,31.53,-0.22
4858,6.2764,880.794,13.95,0.0
1788,21.1412,4840.2,43.52,0.26
158,14.9971,4899.67,28.62,-0.09
5842,8.89262,3110.68,30.12,-0.45
3317,8.49448,2087.86,6.15,0.23
4707,17.4692,4961.61,26.05,-0.18
7955,10.9733,4093.43,21.72,0.34
3637,23.609,4975.04,27.64,-0.33
713,22.8125,4946.46,31.43,-0.31
5899,21.4476,4986.89,12.13,-0.1
1108,6.14856,861.125,14.22,-0.1
